响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2016/04/27 18:54:21,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#1机,49.971,-0.072,-0.043,109.9,110.8,0.9,2.6,37.0,2.70,20.09,13.4,25.2,0.2,1.2,11.6,0.00,0.029,4.05,40.6,2.51,6.82,36.83,2.79,11.77,23.68,2.65,16.10,16.46,2.70,20.09,13.43,PMU
2016/04/27 18:54:21,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#2机,49.971,-0.072,-0.043,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2016/04/27 18:54:21,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#1机,49.971,-0.072,-0.043,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2016/04/27 18:54:21,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#4机,49.971,-0.072,-0.043,31.5,31.5,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2016/04/27 18:54:21,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#1机,49.971,-0.072,-0.043,392.8,409.2,16.4,11.0,149.9,161.18,85.71,188.0,168.9,9.7,5.1,2.7,0.00,0.029,35.03,0.5,45.26,29.10,155.54,88.74,50.22,176.70,127.15,68.68,185.11,161.18,85.71,188.04,PMU
2016/04/27 18:54:21,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#2机,49.971,-0.072,-0.043,600.7,611.3,10.7,11.0,97.3,107.01,85.69,124.9,111.1,6.4,5.1,4.0,0.00,0.029,18.53,2.2,28.75,29.10,98.79,57.15,50.22,113.80,84.02,68.68,122.33,107.01,85.69,124.88,PMU
2016/04/27 18:54:21,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#1机,49.971,-0.072,-0.043,217.7,221.2,3.5,5.7,61.5,56.20,44.19,127.2,94.3,3.4,2.7,3.9,0.00,0.029,13.75,3.8,12.72,15.00,84.76,27.22,25.90,105.10,41.71,35.42,117.76,56.20,44.19,127.16,RTU
2016/04/27 18:54:21,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#2机,49.971,-0.072,-0.043,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2016/04/27 18:54:21,安徽.合二厂 安徽.合二厂/20kV.合二厂#1机,49.971,-0.072,-0.043,272.9,283.4,10.5,6.0,175.7,137.56,46.87,293.5,234.6,8.2,2.8,1.5,0.00,0.029,3.89,2.9,21.14,15.91,132.85,56.67,27.46,206.34,97.16,37.56,258.68,137.56,46.87,293.50,PMU
2016/04/27 18:54:21,安徽.合二厂 安徽.合二厂/20kV.合二厂#2机,49.971,-0.072,-0.043,298.8,302.5,3.7,6.0,61.6,50.69,46.88,108.1,84.9,3.0,2.8,4.4,0.00,0.029,2.80,6.3,10.18,15.91,63.94,24.73,27.47,90.05,38.54,37.56,102.58,50.69,46.88,108.14,PMU
2016/04/27 18:54:21,安徽.合肥厂 安徽.合肥厂/20kV.合肥厂#6机,49.971,-0.072,-0.043,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2016/04/27 18:54:21,安徽.合肥厂 安徽.合肥厂/22kV.合肥厂#5机,49.971,-0.072,-0.043,521.6,528.8,7.2,10.8,66.8,5.56,84.37,6.6,36.7,0.3,5.1,3.3,0.00,0.029,7.15,44.1,13.02,28.64,45.46,13.95,49.44,28.23,9.62,67.61,14.23,5.56,84.37,6.59,PMU
2016/04/27 18:54:21,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#1机,49.971,-0.072,-0.043,312.7,318.0,5.3,11.3,46.7,19.43,88.39,22.0,34.3,1.2,5.3,9.9,0.00,0.029,4.21,36.6,9.95,30.01,33.17,17.19,51.79,33.20,20.55,70.83,29.01,19.43,88.39,21.99,PMU
2016/04/27 18:54:21,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#2机,49.971,-0.072,-0.043,659.9,661.1,1.1,1.1,100.0,-10.76,19.16,-56.1,21.9,-0.6,1.1,-30.3,0.00,0.029,13.11,155.7,-2.50,4.70,-53.19,-4.73,9.51,-49.71,-7.21,14.33,-50.32,-10.76,19.16,-56.13,PMU
2016/04/27 18:54:21,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#1机,49.971,-0.072,-0.043,0.1,0.1,0.0,2.3,0.0,0.00,18.08,0.0,0.0,0.0,1.1,0.0,60.00,0.029,0.00,46.9,0.00,6.14,0.00,0.00,10.59,0.00,0.00,14.49,0.00,0.00,18.08,0.00,RTU
2016/04/27 18:54:21,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#2机,49.971,-0.072,-0.043,0.1,0.1,0.0,2.3,0.0,0.00,18.08,0.0,0.0,0.0,1.1,0.0,60.00,0.029,0.00,46.9,0.00,6.14,0.00,0.00,10.59,0.00,0.00,14.49,0.00,0.00,18.08,0.00,RTU
2016/04/27 18:54:21,安徽.华六厂 安徽.华六厂/20kV.华六厂#3机,49.971,-0.072,-0.043,298.1,299.5,1.5,11.3,12.9,1.82,88.39,2.0,7.5,0.1,5.3,-2.8,0.00,0.029,0.23,45.9,-3.73,30.00,-12.44,-6.38,51.79,-12.31,-3.29,70.83,-4.64,1.82,88.39,2.05,PMU
2016/04/27 18:54:21,安徽.华六厂 安徽.华六厂/20kV.华六厂#4机,49.971,-0.072,-0.043,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2016/04/27 18:54:21,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#1机,49.971,-0.072,-0.043,246.9,252.9,6.0,5.5,110.1,63.06,42.85,147.1,128.6,3.8,2.6,2.3,0.00,0.029,1.97,12.8,3.32,14.55,22.80,17.51,25.11,69.73,39.18,34.34,114.10,63.06,42.85,147.15,PMU
2016/04/27 18:54:21,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#2机,49.971,-0.072,-0.043,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2016/04/27 18:54:21,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#5机,49.971,-0.072,-0.043,254.1,258.1,4.0,6.3,63.0,35.62,49.54,71.9,67.4,2.1,3.0,6.2,0.00,0.029,11.17,13.7,13.31,16.82,79.15,25.66,29.03,88.40,32.57,39.71,82.02,35.62,49.54,71.89,PMU
2016/04/27 18:54:21,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#6机,49.971,-0.072,-0.043,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.029,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
