响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2017/03/31 12:36:21,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#1机,49.967,-0.125,-0.093,89.0,89.5,0.6,5.6,10.3,9.56,40.11,23.8,17.1,0.6,2.4,21.0,0.00,0.033,0.00,33.0,2.39,14.45,16.52,4.78,23.65,20.20,7.17,32.19,22.27,9.56,40.11,23.83,RTU
2017/03/31 12:36:21,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#2机,49.967,-0.125,-0.093,87.4,88.7,1.3,5.6,23.2,16.81,40.11,41.9,32.6,1.0,2.4,10.9,0.00,0.033,1.14,25.2,2.99,14.45,20.69,7.18,23.65,30.35,11.86,32.19,36.85,16.81,40.11,41.91,PMU
2017/03/31 12:36:21,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,-0.08,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,-0.02,0.00,0.00,-0.04,0.00,0.00,-0.06,0.00,0.00,-0.08,0.00,RTU
2017/03/31 12:36:21,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#4机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/03/31 12:36:21,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#1机,49.967,-0.125,-0.093,399.0,417.7,18.8,23.7,79.1,245.96,171.12,143.7,111.4,14.8,10.3,3.4,0.00,0.033,31.42,2.9,55.82,61.67,90.51,116.27,100.93,115.20,180.51,137.33,131.44,245.96,171.12,143.74,PMU
2017/03/31 12:36:21,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#2机,49.967,-0.125,-0.093,411.6,438.6,27.0,23.7,113.8,295.79,171.14,172.8,143.3,17.8,10.3,2.9,0.00,0.033,45.23,0.7,84.38,61.67,136.82,160.74,100.93,159.26,231.58,137.34,168.62,295.79,171.14,172.84,PMU
2017/03/31 12:36:21,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#1机,49.967,-0.125,-0.093,202.2,205.0,2.7,12.2,22.2,34.55,88.23,39.2,30.7,2.1,5.3,11.2,0.00,0.033,0.83,26.4,5.63,31.80,17.69,14.43,52.04,27.72,24.17,70.81,34.14,34.55,88.23,39.16,PMU
2017/03/31 12:36:21,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#2机,49.967,-0.125,-0.093,197.2,205.1,7.9,12.2,65.0,98.52,88.24,111.7,88.3,5.9,5.3,3.6,0.00,0.033,2.43,9.7,12.09,31.80,38.03,37.29,52.04,71.66,67.00,70.81,94.62,98.52,88.24,111.66,PMU
2017/03/31 12:36:21,安徽.合二厂 安徽.合二厂/20kV.合二厂#1机,49.967,-0.125,-0.093,208.1,218.1,10.0,13.0,76.9,137.67,93.58,147.1,112.0,8.3,5.6,3.2,0.00,0.033,2.87,4.9,26.20,33.73,77.67,60.01,55.19,108.73,97.31,75.10,129.57,137.67,93.58,147.12,PMU
2017/03/31 12:36:21,安徽.合二厂 安徽.合二厂/20kV.合二厂#2机,49.967,-0.125,-0.093,180.7,190.1,9.4,13.0,72.4,126.97,93.59,135.7,104.0,7.6,5.6,3.5,0.00,0.033,2.72,4.8,25.84,33.73,76.61,55.49,55.19,100.54,89.01,75.11,118.51,126.97,93.59,135.67,PMU
2017/03/31 12:36:21,安徽.合肥厂 安徽.合肥厂/20kV.合肥厂#6机,49.967,-0.125,-0.093,468.3,485.8,17.5,23.4,74.9,168.73,168.46,100.2,87.6,10.1,10.1,5.0,0.00,0.033,43.88,3.1,56.42,60.71,92.94,99.30,99.35,99.95,135.95,135.19,100.56,168.73,168.46,100.16,PMU
2017/03/31 12:36:21,安徽.合肥厂 安徽.合肥厂/22kV.合肥厂#5机,49.967,-0.125,-0.093,454.9,465.4,10.5,23.4,44.8,81.57,168.45,48.4,46.6,4.9,10.1,8.2,0.00,0.033,7.56,22.6,22.82,60.71,37.59,49.01,99.35,49.33,62.08,135.19,45.92,81.57,168.45,48.42,PMU
2017/03/31 12:36:21,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#1机,49.967,-0.125,-0.093,121.2,125.4,4.2,24.5,17.2,-23.51,176.47,-13.3,2.0,-1.4,10.6,-24.1,0.00,0.033,31.93,49.1,-4.81,63.60,-7.57,-11.05,104.08,-10.61,-17.51,141.62,-12.36,-23.51,176.47,-13.33,PMU
2017/03/31 12:36:21,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/03/31 12:36:21,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/03/31 12:36:21,安徽.华六厂 安徽.华六厂/20kV.华六厂#3机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.华六厂 安徽.华六厂/20kV.华六厂#4机,49.967,-0.125,-0.093,480.4,495.6,15.2,24.5,62.3,200.17,176.47,113.4,87.8,12.0,10.6,4.2,0.00,0.033,13.86,5.5,48.13,63.60,75.67,101.38,104.08,97.40,152.32,141.62,107.56,200.17,176.47,113.43,PMU
2017/03/31 12:36:21,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#1机,49.967,-0.125,-0.093,178.9,184.1,5.1,11.9,43.2,57.59,85.56,67.3,55.3,3.5,5.1,6.7,0.00,0.033,3.62,14.8,11.02,30.84,35.72,28.82,50.46,57.12,40.96,68.67,59.65,57.59,85.56,67.31,RTU
2017/03/31 12:36:21,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/03/31 12:36:21,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#5机,49.967,-0.125,-0.093,252.5,260.4,7.9,13.7,57.5,86.19,98.94,87.1,72.3,5.2,5.9,5.9,0.00,0.033,30.45,6.3,23.91,35.65,67.06,44.33,58.35,75.98,65.43,79.40,82.40,86.19,98.94,87.11,PMU
2017/03/31 12:36:21,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#6机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.九华厂 安徽.九华厂/20kV.九华厂#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/03/31 12:36:21,安徽.九华厂 安徽.九华厂/20kV.九华厂#2机,49.967,-0.125,-0.093,234.4,243.3,8.9,11.9,75.1,98.64,85.56,115.3,95.2,5.9,5.1,3.4,0.00,0.033,2.81,10.1,11.61,30.84,37.65,35.52,50.47,70.39,64.39,68.67,93.78,98.64,85.56,115.28,RTU
2017/03/31 12:36:21,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#1机,49.967,-0.125,-0.093,199.2,202.6,3.4,11.1,30.5,37.62,80.22,46.9,38.7,2.3,4.8,10.0,0.00,0.033,1.14,23.0,8.48,28.91,29.34,16.05,47.31,33.92,25.14,64.38,39.05,37.62,80.22,46.89,PMU
2017/03/31 12:36:21,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#2机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#3机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/03/31 12:36:21,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#4机,49.967,-0.125,-0.093,213.9,222.0,8.1,12.2,65.8,66.31,88.24,75.2,70.5,4.0,5.3,4.6,0.00,0.033,2.45,17.4,6.74,31.80,21.18,17.90,52.04,34.40,37.97,70.81,53.62,66.31,88.24,75.15,PMU
2017/03/31 12:36:21,安徽.炉桥厂 安徽.炉桥厂/20kV.炉桥厂#1机,49.967,-0.125,-0.093,186.7,194.8,8.1,22.6,35.8,120.53,163.11,73.9,54.9,7.2,9.8,6.5,0.00,0.033,1.34,11.6,26.13,58.78,44.45,55.96,96.20,58.17,87.66,130.90,66.97,120.53,163.11,73.90,PMU
2017/03/31 12:36:21,安徽.炉桥厂 安徽.炉桥厂/20kV.炉桥厂#2机,49.967,-0.125,-0.093,238.9,254.5,15.6,22.6,69.0,161.54,163.11,99.0,84.0,9.7,9.8,4.9,0.00,0.033,18.29,4.6,46.80,58.78,79.62,86.72,96.20,90.15,123.95,130.90,94.69,161.54,163.11,99.04,PMU
2017/03/31 12:36:21,安徽.马二厂 安徽.马二厂/20kV.马二厂#1机,49.967,-0.125,-0.093,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.033,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
