响应时间,机组名称,频率初值,频差极值,最大频率调节量,出力初值,出力极值,最大出力调节量,最大理论调节量,出力响应指数,实际贡献电量,理论贡献电量,电量贡献指数,综合指数,平均出力调节量,平均理论调节量,调差系数,滞后时间,调频死区,爬坡速率,响应偏差率,15秒实际贡献电量,15秒理论贡献电量,15秒贡献电量指数,30秒实际贡献电量,30秒理论贡献电量,30秒贡献电量指数,45秒实际贡献电量,45秒理论贡献电量,45秒贡献电量指数,60秒实际贡献电量,60秒理论贡献电量,60秒贡献电量指数,量测源
2017/06/01 15:05:32,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#1机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/06/01 15:05:32,安徽.滨淮厂 安徽.滨淮厂/13.8kV.滨淮厂#2机,49.970,-0.078,-0.048,113.6,115.4,1.8,2.9,62.0,14.05,22.87,61.5,61.8,0.8,1.4,6.8,0.00,0.031,4.61,19.4,4.66,7.53,61.91,7.99,12.29,64.99,12.48,17.72,70.42,14.05,22.87,61.46,PMU
2017/06/01 15:05:32,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#1机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.陈村站 安徽.陈村站/15.75kV.陈村站#4机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#1机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.阜润厂 安徽.阜润厂/22kV.阜润厂#2机,49.970,-0.078,-0.048,590.7,602.7,12.1,12.2,98.8,118.53,97.57,121.5,110.2,7.1,5.8,4.1,0.00,0.031,22.64,1.7,33.25,32.12,103.52,60.90,52.44,116.12,93.21,75.62,123.27,118.53,97.57,121.48,PMU
2017/06/01 15:05:32,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#1机,49.970,-0.078,-0.048,156.8,157.2,0.4,6.3,6.3,-15.81,50.30,-31.4,-12.6,-0.9,3.0,-14.6,0.00,0.031,7.23,63.0,-3.07,16.56,-18.51,-6.70,27.04,-24.77,-10.91,38.98,-28.00,-15.81,50.30,-31.44,PMU
2017/06/01 15:05:32,安徽.顾桥厂 安徽.顾桥厂/20kV.顾桥厂#2机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.合二厂 安徽.合二厂/20kV.合二厂#1机,49.970,-0.078,-0.048,322.4,335.8,13.5,6.7,201.4,155.45,53.35,291.4,246.4,9.3,3.2,1.5,0.00,0.031,16.96,1.4,39.98,17.57,227.60,89.54,28.68,312.22,130.80,41.35,316.35,155.45,53.35,291.37,PMU
2017/06/01 15:05:32,安徽.合二厂 安徽.合二厂/20kV.合二厂#2机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.合肥厂 安徽.合肥厂/20kV.合肥厂#6机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.合肥厂 安徽.合肥厂/22kV.合肥厂#5机,49.970,-0.078,-0.048,601.8,606.2,4.4,12.0,36.4,57.29,96.04,59.7,48.0,3.4,5.8,7.7,0.00,0.031,4.26,19.4,12.03,31.62,38.05,26.52,51.62,51.37,42.17,74.43,56.66,57.29,96.04,59.66,PMU
2017/06/01 15:05:32,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#1机,49.970,-0.078,-0.048,647.8,649.5,1.7,12.2,13.7,-21.93,100.54,-21.8,-4.0,-1.3,6.0,-15.9,0.00,0.031,10.89,60.2,-1.22,33.06,-3.70,-5.63,54.01,-10.42,-12.51,77.90,-16.06,-21.93,100.54,-21.81,PMU
2017/06/01 15:05:32,安徽.虎山厂 安徽.虎山厂/20kV.虎山厂#2机,49.970,-0.078,-0.048,654.0,655.3,1.3,6.0,21.6,-30.89,91.58,-33.7,-6.1,-1.9,5.5,-14.1,0.00,0.031,0.00,122.2,-7.53,24.15,-31.16,-13.06,45.09,-28.96,-20.36,68.94,-29.53,-30.89,91.58,-33.73,PMU
2017/06/01 15:05:32,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#1机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/06/01 15:05:32,安徽.华六厂 安徽.华六厂/13.8kV.华六厂#2机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/06/01 15:05:32,安徽.华六厂 安徽.华六厂/20kV.华六厂#3机,49.970,-0.078,-0.048,384.9,385.3,0.4,12.6,3.4,-39.55,100.62,-39.3,-18.0,-2.4,6.0,-8.5,0.00,0.031,0.00,66.8,-1.07,33.12,-3.22,-9.22,54.08,-17.05,-22.60,77.97,-28.98,-39.55,100.62,-39.31,PMU
2017/06/01 15:05:32,安徽.华六厂 安徽.华六厂/20kV.华六厂#4机,49.970,-0.078,-0.048,316.7,320.3,3.6,12.6,28.8,45.52,100.61,45.2,37.0,2.7,6.0,8.8,0.00,0.031,0.73,26.3,5.93,33.13,17.89,17.60,54.08,32.55,31.22,77.97,40.04,45.52,100.61,45.24,PMU
2017/06/01 15:05:32,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#1机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.淮北二厂 安徽.淮北二厂/20kV.淮北二厂#2机,49.970,-0.078,-0.048,259.8,260.4,0.6,6.1,9.8,-12.57,48.78,-25.8,-8.0,-0.8,2.9,-6.7,0.00,0.031,0.61,60.3,-0.97,16.06,-6.05,0.35,26.22,1.32,-2.98,37.80,-7.90,-12.57,48.78,-25.77,PMU
2017/06/01 15:05:32,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#5机,49.970,-0.078,-0.048,262.6,266.6,4.0,7.1,56.1,39.39,56.40,69.8,63.0,2.4,3.4,7.2,0.00,0.031,12.85,14.5,10.70,18.57,57.60,19.05,30.32,62.85,29.58,43.71,67.67,39.39,56.40,69.83,PMU
2017/06/01 15:05:32,安徽.汇源厂 安徽.汇源厂/20kV.汇源厂#6机,49.970,-0.078,-0.048,274.8,281.2,6.4,7.1,90.7,23.97,56.40,42.5,66.6,1.4,3.4,5.6,0.00,0.031,24.72,27.8,15.96,18.57,85.93,20.87,30.32,68.84,26.36,43.71,60.30,23.97,56.40,42.50,PMU
2017/06/01 15:05:32,安徽.九华厂 安徽.九华厂/20kV.九华厂#1机,49.970,-0.078,-0.048,249.7,254.3,4.6,6.1,74.9,46.31,48.78,94.9,84.9,2.8,2.9,4.7,1.80,0.031,11.59,6.9,12.13,16.06,75.53,24.21,26.22,92.33,35.25,37.80,93.26,46.31,48.78,94.92,RTU
2017/06/01 15:05:32,安徽.九华厂 安徽.九华厂/20kV.九华厂#2机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
2017/06/01 15:05:32,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#1机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#2机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,PMU
2017/06/01 15:05:32,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#3机,49.970,-0.078,-0.048,290.4,293.8,3.4,6.3,54.0,24.77,50.31,49.2,51.6,1.5,3.0,6.5,0.00,0.031,1.04,25.9,5.41,16.56,32.65,6.28,27.04,23.23,12.09,38.99,31.01,24.77,50.31,49.23,PMU
2017/06/01 15:05:32,安徽.临涣厂 安徽.临涣厂/20kV.临涣厂#4机,49.970,-0.078,-0.048,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.00,0.031,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RTU
